unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
SOLAR02,14/06/2018,24,0.0,0,0.0,0,1,0,23
WIND01,15/06/2018,1,417.0,0,417.0,0,1,0,24
WIND02,15/06/2018,1,270.4,0,270.4,0,1,0,24
SOLAR01,15/06/2018,1,0.0,0,0.0,0,1,0,24
SOLAR02,15/06/2018,1,0.0,0,0.0,0,1,0,24
WIND01,15/06/2018,2,446.0,0,446.0,0,1,0,25
WIND02,15/06/2018,2,278.7,0,278.7,0,1,0,25
SOLAR01,15/06/2018,2,0.0,0,0.0,0,1,0,25
SOLAR02,15/06/2018,2,0.0,0,0.0,0,1,0,25
WIND01,15/06/2018,3,345.2,0,345.2,0,1,0,26
WIND02,15/06/2018,3,254.7,0,254.7,0,1,0,26
SOLAR01,15/06/2018,3,0.0,0,0.0,0,1,0,26
SOLAR02,15/06/2018,3,0.0,0,0.0,0,1,0,26
WIND01,15/06/2018,4,398.9,0,398.9,0,1,0,27
WIND02,15/06/2018,4,213.2,0,213.2,0,1,0,27
SOLAR01,15/06/2018,4,0.0,0,0.0,0,1,0,27
SOLAR02,15/06/2018,4,0.0,0,0.0,0,1,0,27
WIND01,15/06/2018,5,415.7,0,415.7,0,1,0,28
WIND02,15/06/2018,5,294.7,0,294.7,0,1,0,28
SOLAR01,15/06/2018,5,0.0,0,0.0,0,1,0,28
SOLAR02,15/06/2018,5,0.0,0,0.0,0,1,0,28
WIND01,15/06/2018,6,376.7,0,376.7,0,1,0,29
WIND02,15/06/2018,6,263.0,0,263.0,0,1,0,29
SOLAR01,15/06/2018,6,0.0,0,0.0,0,1,0,29
SOLAR02,15/06/2018,6,0.0,0,0.0,0,1,0,29
WIND01,15/06/2018,7,327.5,0,327.5,0,1,0,30
WIND02,15/06/2018,7,155.8,0,155.8,0,1,0,30
SOLAR01,15/06/2018,7,0.0,0,0.0,0,1,0,30
SOLAR02,15/06/2018,7,0.0,0,0.0,0,1,0,30
WIND01,15/06/2018,8,318.7,0,318.7,0,1,0,31
