WIND01,20/06/2018,22,249.1,0,249.1,0,1,0,165
WIND02,20/06/2018,22,486.2,0,486.2,0,1,0,165
SOLAR01,20/06/2018,22,0.0,0,0.0,0,1,0,165
SOLAR02,20/06/2018,22,0.0,0,0.0,0,1,0,165
WIND01,20/06/2018,23,346.7,0,346.7,0,1,0,166
WIND02,20/06/2018,23,410.5,0,410.5,0,1,0,166
SOLAR01,20/06/2018,23,0.0,0,0.0,0,1,0,166
SOLAR02,20/06/2018,23,0.0,0,0.0,0,1,0,166
WIND01,20/06/2018,24,486.8,0,486.8,0,1,0,167
WIND02,20/06/2018,24,372.0,0,372.0,0,1,0,167
SOLAR01,20/06/2018,24,0.0,0,0.0,0,1,0,167
SOLAR02,20/06/2018,24,0.0,0,0.0,0,1,0,167
